ticker,Date,time,Open,High,Low,Close,Vol
TADAWUL:8130,2007-09-03,00:00:00,200.00,200.50,181.00,189.75,986853
TADAWUL:8130,2007-09-04,00:00:00,186.00,197.75,179.50,190.00,1043595
TADAWUL:8130,2007-09-05,00:00:00,187.25,195.50,186.00,193.50,630361
TADAWUL:8130,2007-09-09,00:00:00,215.00,216.00,198.00,204.00,745068
TADAWUL:8130,2007-09-10,00:00:00,198.00,203.75,193.00,198.00,465705
TADAWUL:8130,2007-09-11,00:00:00,194.50,198.00,186.00,187.00,400124
TADAWUL:8130,2007-09-12,00:00:00,187.00,190.50,178.50,189.00,275079
TADAWUL:8130,2007-09-16,00:00:00,169.00,189.75,168.00,189.50,522358
TADAWUL:8130,2007-09-17,00:00:00,184.00,190.50,183.25,187.00,458412
TADAWUL:8130,2007-09-18,00:00:00,188.75,205.50,187.00,197.00,953761
TADAWUL:8130,2007-09-19,00:00:00,201.50,204.75,191.50,193.25,379139
TADAWUL:8130,2007-09-23,00:00:00,192.00,199.00,190.00,199.00,299065
TADAWUL:8130,2007-09-24,00:00:00,195.00,205.00,190.25,198.00,777254
TADAWUL:8130,2007-09-25,00:00:00,199.00,202.00,196.50,198.75,359920
TADAWUL:8130,2007-09-26,00:00:00,198.50,201.50,193.25,197.00,443107
TADAWUL:8130,2007-09-30,00:00:00,190.00,195.00,184.50,187.00,271140
TADAWUL:8130,2007-10-01,00:00:00,188.00,194.50,186.00,187.00,338448
TADAWUL:8130,2007-10-02,00:00:00,185.00,187.00,179.50,180.00,270436
TADAWUL:8130,2007-10-03,00:00:00,182.00,182.00,169.00,171.25,305510
TADAWUL:8130,2007-10-07,00:00:00,165.00,175.75,165.00,174.50,422872
TADAWUL:8130,2007-10-08,00:00:00,172.50,175.75,169.00,173.00,339611
TADAWUL:8130,2007-10-09,00:00:00,172.25,177.00,157.25,159.25,616139
TADAWUL:8130,2007-10-10,00:00:00,165.00,168.75,160.00,164.00,381907
TADAWUL:8130,2007-10-21,00:00:00,171.00,171.00,162.25,166.75,241507
TADAWUL:8130,2007-10-22,00:00:00,166.00,167.75,160.25,166.00,321073
TADAWUL:8130,2007-10-23,00:00:00,163.75,173.00,163.75,169.50,360546
TADAWUL:8130,2007-10-24,00:00:00,166.00,172.00,164.00,172.00,371982
TADAWUL:8130,2007-10-28,00:00:00,167.25,168.00,162.00,163.75,265088
TADAWUL:8130,2007-10-29,00:00:00,163.75,167.00,161.25,167.00,186042
TADAWUL:8130,2007-10-30,00:00:00,164.00,164.00,155.25,160.00,410446
TADAWUL:8130,2007-10-31,00:00:00,157.00,164.00,155.75,163.00,231804
TADAWUL:8130,2007-11-04,00:00:00,155.75,158.50,152.25,157.00,208905
TADAWUL:8130,2007-11-05,00:00:00,155.50,159.00,155.50,156.50,190221
TADAWUL:8130,2007-11-06,00:00:00,156.50,159.75,155.50,159.00,135750
TADAWUL:8130,2007-11-07,00:00:00,158.75,159.00,154.25,157.00,157548
TADAWUL:8130,2007-11-11,00:00:00,168.75,170.00,163.25,169.00,300025
TADAWUL:8130,2007-11-12,00:00:00,163.50,175.00,163.50,171.75,393201
TADAWUL:8130,2007-11-13,00:00:00,169.25,171.25,166.00,167.00,292134
TADAWUL:8130,2007-11-14,00:00:00,169.75,169.75,162.50,162.50,318659
TADAWUL:8130,2007-11-18,00:00:00,161.00,165.25,160.00,163.75,336038
TADAWUL:8130,2007-11-19,00:00:00,164.50,167.00,163.50,164.25,607137
TADAWUL:8130,2007-11-20,00:00:00,165.00,170.75,163.75,164.00,693622
TADAWUL:8130,2007-11-21,00:00:00,164.25,165.75,162.75,163.50,209095
TADAWUL:8130,2007-11-25,00:00:00,165.25,166.25,163.75,163.75,124137
TADAWUL:8130,2007-11-26,00:00:00,163.75,167.00,163.25,164.25,273565
TADAWUL:8130,2007-11-27,00:00:00,163.00,163.75,158.00,158.25,240225
TADAWUL:8130,2007-11-28,00:00:00,157.50,162.00,157.00,159.25,178306
TADAWUL:8130,2007-12-02,00:00:00,160.75,163.00,160.00,161.00,170579
TADAWUL:8130,2007-12-03,00:00:00,162.00,169.25,161.25,165.00,516078
TADAWUL:8130,2007-12-04,00:00:00,165.75,167.00,165.00,165.25,316904
TADAWUL:8130,2007-12-05,00:00:00,165.25,170.00,164.50,166.50,555145
TADAWUL:8130,2007-12-09,00:00:00,164.00,166.50,160.50,163.50,223993
TADAWUL:8130,2007-12-10,00:00:00,163.00,164.00,158.00,159.50,197421
TADAWUL:8130,2007-12-11,00:00:00,159.50,160.00,154.50,155.00,119835
TADAWUL:8130,2007-12-12,00:00:00,154.25,154.25,150.00,152.00,145154
TADAWUL:8130,2007-12-16,00:00:00,151.75,154.25,150.00,152.00,179075
TADAWUL:8130,2007-12-17,00:00:00,152.25,153.50,150.50,151.50,112671
TADAWUL:8130,2007-12-24,00:00:00,151.25,154.75,150.50,152.25,84036
TADAWUL:8130,2007-12-25,00:00:00,152.50,153.25,150.00,151.25,93320
TADAWUL:8130,2007-12-26,00:00:00,150.75,151.25,148.25,149.00,65176
TADAWUL:8130,2007-12-30,00:00:00,146.00,148.75,145.25,146.50,89238
TADAWUL:8130,2007-12-31,00:00:00,145.50,148.25,143.50,145.25,63498
TADAWUL:8130,2008-01-02,00:00:00,136.25,138.75,132.00,134.00,119781
TADAWUL:8130,2008-01-06,00:00:00,132.50,139.75,130.00,133.50,200074
TADAWUL:8130,2008-01-07,00:00:00,134.75,134.75,130.50,132.50,139152
TADAWUL:8130,2008-01-08,00:00:00,132.50,145.75,130.25,145.50,758682
TADAWUL:8130,2008-01-09,00:00:00,138.25,159.75,138.25,159.25,710405
TADAWUL:8130,2008-01-13,00:00:00,148.00,150.00,139.00,140.00,353842
TADAWUL:8130,2008-01-14,00:00:00,140.25,145.75,139.00,141.00,290562
TADAWUL:8130,2008-01-15,00:00:00,141.25,143.75,138.00,138.00,189520
TADAWUL:8130,2008-01-16,00:00:00,139.50,141.50,129.25,130.00,248528
TADAWUL:8130,2008-01-20,00:00:00,138.00,140.00,126.00,126.00,298502
TADAWUL:8130,2008-01-21,00:00:00,125.75,129.75,115.50,119.00,454670
TADAWUL:8130,2008-01-22,00:00:00,116.50,124.00,107.25,107.25,462455
TADAWUL:8130,2008-01-23,00:00:00,111.75,117.00,107.00,111.00,487423
TADAWUL:8130,2008-01-27,00:00:00,108.75,117.00,107.00,115.00,277789
TADAWUL:8130,2008-01-28,00:00:00,116.00,117.75,110.00,111.25,332643
TADAWUL:8130,2008-01-29,00:00:00,112.75,115.00,110.25,112.25,295818
TADAWUL:8130,2008-01-30,00:00:00,113.00,116.50,111.00,113.00,639935
TADAWUL:8130,2008-02-03,00:00:00,116.25,124.75,115.75,122.00,698407
TADAWUL:8130,2008-02-04,00:00:00,122.00,128.50,121.50,123.25,330442
TADAWUL:8130,2008-02-05,00:00:00,123.00,126.75,119.00,124.00,337570
TADAWUL:8130,2008-02-06,00:00:00,123.50,123.50,115.00,116.50,272651
TADAWUL:8130,2008-02-10,00:00:00,140.00,140.75,138.50,140.75,230749
TADAWUL:8130,2008-02-11,00:00:00,150.00,154.00,131.00,132.00,1632660
TADAWUL:8130,2008-02-12,00:00:00,129.00,135.00,127.00,133.00,273718
TADAWUL:8130,2008-02-13,00:00:00,130.75,136.00,128.50,133.00,288112
TADAWUL:8130,2008-02-17,00:00:00,145.25,156.00,142.00,150.00,674922
TADAWUL:8130,2008-02-18,00:00:00,148.25,156.00,147.00,149.75,484628
TADAWUL:8130,2008-02-19,00:00:00,150.00,150.00,138.50,145.75,1020611
TADAWUL:8130,2008-02-20,00:00:00,141.75,146.00,139.00,144.50,585884
TADAWUL:8130,2008-02-24,00:00:00,141.00,141.00,138.75,140.00,182291
TADAWUL:8130,2008-02-25,00:00:00,139.50,148.00,139.00,143.75,551253
TADAWUL:8130,2008-02-26,00:00:00,142.25,142.50,137.25,138.00,273807
TADAWUL:8130,2008-02-27,00:00:00,137.75,139.25,134.00,138.25,168121
TADAWUL:8130,2008-03-02,00:00:00,138.00,138.00,131.00,135.00,140555
TADAWUL:8130,2008-03-03,00:00:00,133.00,141.00,132.00,134.50,609897
TADAWUL:8130,2008-03-04,00:00:00,135.75,139.00,135.00,138.75,285945
TADAWUL:8130,2008-03-05,00:00:00,137.75,139.00,135.50,137.75,133272
TADAWUL:8130,2008-03-09,00:00:00,136.00,138.00,132.75,133.00,98931
TADAWUL:8130,2008-03-10,00:00:00,133.00,134.50,129.25,129.50,104225
TADAWUL:8130,2008-03-11,00:00:00,128.50,132.00,127.50,129.25,112239
TADAWUL:8130,2008-03-12,00:00:00,129.50,130.50,125.00,125.25,106830
TADAWUL:8130,2008-03-16,00:00:00,122.25,128.00,120.00,123.50,157068
TADAWUL:8130,2008-03-17,00:00:00,126.00,127.00,121.00,122.75,105804
TADAWUL:8130,2008-03-18,00:00:00,123.00,135.00,123.00,127.00,291392
TADAWUL:8130,2008-03-19,00:00:00,128.25,129.00,123.00,123.50,162761
TADAWUL:8130,2008-03-23,00:00:00,124.00,130.00,121.25,122.50,153745
TADAWUL:8130,2008-03-24,00:00:00,123.75,125.00,120.25,123.00,91218
TADAWUL:8130,2008-03-25,00:00:00,124.00,125.75,122.50,123.25,135963
TADAWUL:8130,2008-03-26,00:00:00,123.50,124.75,118.00,119.00,151640
TADAWUL:8130,2008-03-30,00:00:00,116.00,121.00,116.00,118.50,212274
TADAWUL:8130,2008-03-31,00:00:00,119.50,124.25,118.50,119.75,219901
TADAWUL:8130,2008-04-01,00:00:00,120.00,122.00,118.00,119.00,170509
TADAWUL:8130,2008-04-02,00:00:00,121.75,127.25,119.00,119.00,628472
TADAWUL:8130,2008-04-06,00:00:00,119.25,119.25,117.75,118.00,110987
TADAWUL:8130,2008-04-07,00:00:00,118.00,122.00,116.75,118.50,213672
TADAWUL:8130,2008-04-08,00:00:00,118.00,120.00,117.25,118.00,149128
TADAWUL:8130,2008-04-09,00:00:00,118.00,118.75,116.00,117.75,139106
TADAWUL:8130,2008-04-13,00:00:00,119.25,119.25,116.25,116.75,172265
TADAWUL:8130,2008-04-14,00:00:00,116.25,117.50,115.25,115.50,97570
TADAWUL:8130,2008-04-15,00:00:00,114.75,115.75,111.25,112.00,122716
TADAWUL:8130,2008-04-16,00:00:00,113.00,113.75,111.50,113.25,63340
TADAWUL:8130,2008-04-20,00:00:00,112.00,112.75,111.00,111.50,66767
TADAWUL:8130,2008-04-21,00:00:00,112.00,112.75,111.00,111.50,66767
TADAWUL:8130,2008-04-22,00:00:00,111.25,112.25,110.25,110.25,62605
TADAWUL:8130,2008-04-23,00:00:00,111.00,111.75,109.75,110.50,76625
TADAWUL:8130,2008-04-27,00:00:00,110.00,111.25,109.50,110.00,86426
