Symbol,Shares,NetIncome,Equity,BookValue,Free float
1010,1500,2825.03,29233.22,19.48,712.747
1020,300,28.52,4515.52,15.05,203.412
1030,550,429.54,8141.37,14.8,295.167
1040,330.75,790.39,6386.96,19.31,96.993
1050,723.214,2801.04,18023.05,24.92,395.367
1060,750,1883.51,15171.95,20.22,246.404
1080,850,1911.09,15290.77,17.98,416.989
1090,900,4435.13,25429.68,28.25,455.309
1120,1500,6770.7,30317.79,20.21,797.502
1140,300,92.28,3102.96,10.34,231.553
1150,1500,15.42,15620.55,10.41,1039.3
1210,27.5,66.21,393,14.29,21.433
1211,925,-9.19,16573.12,17.91,307.789
1212,74.117,258.63,1684.39,22.72,25.119
1213,30,75.99,443.57,14.78,30
1214,35,145.23,484.57,13.84,10.886
1310,125,-179.48,1566.35,12.53,57.695
1320,51,72.94,832.03,16.31,22.246
1330,42.5,217.05,588.16,13.83,12.75
2001,120.6,6.04,1414.78,11.73,60.3
2002,480,-42.04,4714.58,9.82,73
2010,3000,21528.67,120838.77,40.27,656.455
2020,250,3234.62,7134.16,28.53,89.55
2030,15,12.27,398.54,26.56,15
2040,25,220.59,1004.05,40.16,15.723
2050,500,886.7,7020.04,14.04,367.599
2060,506.753,1472.61,9261.65,18.27,444.328
2070,78.437,176.53,2937.66,37.45,51.009
2080,75,90.16,1001.81,13.35,50.682
2090,31.666,52.53,462.44,14.6,17.058
2100,20,17.47,194.29,9.71,20
2110,76,-87.82,1199.63,15.78,61.752
2120,43.2,9.5,832.19,19.26,35.512
2130,40,95.08,311.07,7.77,39.999
2140,49,46.62,479.23,9.78,49
2150,30,71.05,525.14,17.5,21.78
2160,115.5,165.1,1683.84,14.57,101.581
2170,69.2,42.18,554.16,8,58.88
2180,11.5,21.63,146.74,12.76,9.813
2190,68,0.77,725.02,10.66,58.005
2200,31.5,-3.51,733.32,23.28,27.033
2210,128.52,34.48,1629.94,12.68,128.52
2220,25.556,16.71,348.51,13.63,16.492
2230,63.24,303.17,1352.8,21.39,61.34
2240,60,211.13,1288.9,21.48,44.999
2250,450,405.08,5681.05,12.62,398.398
2260,292.53,329.2,3766.92,12.87,257.395
2270,32.5,215.13,708.2,21.79,18.917
2280,230,1285.42,6133.61,26.66,95.11
2290,562.5,1672.78,7340.49,13.04,214.519
2300,30,122.57,594.92,19.83,14.985
2310,366.666,378.08,6013.9,16.4,337.586
2320,40.5,78.34,602.76,14.88,40.5
2330,141.375,328.32,1811.31,12.81,133.861
2340,81.25,152.42,1129.55,13.9,24.375
2350,1500,-14.74,15462.55,10.3,602.373
2360,15,71.99,254.23,16.94,8.406
2370,40,-94.88,367.46,9.18,23.483
2380,876,208.69,8009.8,9.14,152.63
3010,80,254.55,2442.09,30.52,65.98
3020,135,656.93,3158.69,23.39,116.465
3030,153,659.51,3371.24,22.03,131.755
3040,90,500.87,1856.16,20.62,46.049
3050,140,658.51,2487.86,17.77,59.274
3060,105,430.36,2529.08,24.08,55.138
3080,86,342.98,2111.38,24.55,58.534
3090,90,123.32,1090.22,12.11,84.922
3091,130,14.76,1265.74,9.73,130
4001,22.5,161.93,448.52,19.93,12.274
4002,25,118.57,573.28,22.93,11.875
4010,69.006,122.7,1662.92,24.09,36.354
4020,120,180.36,3203.03,26.69,36.771
4030,315,414.88,5089.69,16.15,209.117
4040,125,50.07,1445.55,11.56,104.535
4050,45,36.01,512.76,11.39,44.999
4061,10.9,11.3,122.87,11.27,10.899
4070,15,29.56,249.85,16.65,12.096
4080,126.388,84.98,2289.91,18.11,63.295
4090,150,92.1,2811.72,18.74,103.484
4100,164.816,276.24,3775.26,22.9,137.615
4110,18,-6.7,161.47,8.97,17.999
4130,15,-5.97,94.23,6.28,15
4140,10.8,3.09,107.11,9.91,10.8
4150,100,96.16,1468.31,14.68,99.969
4160,10,-18.71,33.48,3.34,10
4170,10.15,1.89,70.86,6.98,10.15
4180,50,22.01,658.82,13.17,38.47
4190,40,400.81,797.58,19.93,35.193
4200,25,86.02,393.43,15.73,25
4210,80,87.14,1303.93,16.29,48.362
4220,850,-583.81,7297.86,8.58,255
4230,30,61.03,693.84,23.12,9
4240,70,287.85,1214.46,17.34,35.7
4250,671.4,-35.47,6594.08,9.82,319.941
4260,18.3,94.8,463.88,25.34,8.7
4270,60,39.09,804.21,13.4,28.5
4280,3705.882,605.25,27081.41,7.3,185.294
4290,15,45.68,264.37,17.62,6.689
4300,1080,1455.71,14234.89,13.18,658.012
4310,339.3,-,3218.26,9.48,102
5110,4166.593,2279.09,50657.64,12.15,715.804
6001,28.571,80.34,507.52,17.76,12.711
6002,27,124.27,380.24,14.08,8.667
6010,60,10.46,971.7,16.19,29.285
6020,50,-17.36,380.88,7.61,49.998
6040,20,11.61,357.04,17.85,14.499
6050,20,-26.89,108.78,5.43,7.698
6060,7.5,-3.96,79.55,10.6,7.498
6070,25,66.44,558.13,22.32,23.8
6080,5,-,56.49,11.29,5
6090,50,-21.73,600.01,12,49.396
7010,2000,9436.32,44998.4,22.49,325.775
7020,700,4211.48,15579.66,22.25,409.435
7030,1400,-2358.44,6129.41,4.37,630
7040,100,-601.04,167.93,1.67,35
8010,75,484.91,1769,23.58,40.027
8020,30,18.07,262.61,8.75,30
8030,80,232.38,1068.61,13.35,28.4
8040,20,-8.35,158.37,7.91,6.6
8050,10,6.59,82.47,8.24,4
8060,20,-6.99,150.13,7.5,8.24
8070,20,15.06,219.42,10.97,8
8080,34,-5.58,320.47,9.42,11.9
8090,20,-21.13,134.84,6.74,8
8100,10,-9.39,72.16,7.21,4
8110,10,-2.77,48.19,4.81,4
8120,22,10.9,212.1,9.64,8.8
8130,10,-5.2,66.83,6.68,2.645
8140,10,-11.39,38.43,3.84,4
8150,10,-19.63,29.56,2.95,4
8160,20,-12.23,142.36,7.11,8
8170,25,-1,238.43,9.53,10.5
8180,20,20.77,222.89,11.14,8.4
8190,20,56.65,295.08,14.75,8
8200,100,0.06,984.42,9.84,42
8210,40,70.8,492.99,12.32,16
8220,20,-23.73,158.09,7.9,8
8230,20,-57.76,143.39,7.16,6
8240,10,-12.09,86.56,8.65,4
8250,20,0.88,195.34,9.76,8
8260,20,-,153.53,7.67,8
8270,13,-,100.26,7.71,5.2
8280,20,-,171.66,8.58,6
8290,55.5,-,555,10,22.2
8300,10,-,100,10,3
8310,32,-,320,10,12.8
