Symbol,Shares,NetIncome,Equity,BookValue
1010,625,2908.55,11991.96,19.18
1020,112.5,1973.95,4193.84,37.27
1030,391.016,2006.25,6001.31,15.34
1040,264.6,952.79,4257.74,16.09
1050,562.5,3006.94,9404.78,16.71
1060,375,3040.28,9404.59,25.07
1080,455,2504.72,7980.13,17.53
1090,600,5210.37,15299.61,25.49
1120,1350,7301.89,20179.47,14.94
1140,300,178.11,3024.34,10.08
2010,2500,20293.94,72883.15,29.15
2020,200,1151.32,4739.37,23.69
2030,6,4.02,281.33,46.88
2040,25,93.23,546.09,21.84
2050,375,1148.58,6083.54,16.22
2060,233.049,693.09,5566.81,23.88
2070,60,105.03,1994.73,33.24
2080,75,111.44,952.97,12.7
2090,23.75,128.14,415.48,17.49
2100,20,50.78,148.57,7.42
2110,76,100.61,721.42,9.49
2120,43.2,0.43,123.63,2.86
2130,40,19.22-,213.87,5.34
2140,42.875,70.98,456.21,10.64
2150,25,48.3,366.81,14.67
2160,115.5,20.82,1195.5,10.35
2170,69.2,0.35,702.49,10.15
2180,6.875,12.34,79.37,11.54
2190,40,5.09,430.28,10.75
2200,31.5,75.38,516.18,16.38
2210,68,21.97,789.6,11.61
2220,16.356,17.97,295.94,18.09
2230,63.24,148.03,847.36,13.39
2240,45,191.64,741.49,16.47
2250,225,586.95,2913.21,12.94
2260,150,164.8,1983.42,13.22
2270,32.5,48.38-,469.69,14.45
2280,109,465.13,1893.88,17.37
2290,562.5,140.29,5752.95,10.22
2300,24,68.75,308.98,12.87
2310,150,493.69,2405.5,16.03
2320,27,75.53,358.99,13.29
2330,141.375,1.4,1415.44,10.01
2340,65,191.85,910.96,14.01
3010,60,333.58,1646.77,27.44
3020,135,601.15,2208.75,16.36
3030,102,637.75,2421.58,23.74
3040,45,315.58,1294.73,28.77
3050,140,624.22,2200.53,15.71
3060,105,512.2,2097.03,19.97
3080,86,445.5,1832.64,21.3
3090,90,217.54,838.43,9.31
4010,50,41.19,770.63,15.41
4020,120,114.1,2918.82,24.32
4030,315,441.49,3004.61,9.53
4040,100,315.06,1362.11,13.62
4050,45,9.76-,373.47,8.29
4061,120,320.77-,109.2,0.91
4070,15,15.87,201.78,13.45
4080,81.25,280.64,1920.88,23.64
4090,123.036,106.1,2911.57,23.66
4100,164.816,183.17,3155.52,19.14
4110,18,7.51-,160.41,8.91
4130,15,3.96-,102.17,6.81
4140,7.2,11.92,117.73,16.35
4150,100,62.83,1355.1,13.55
4160,10,16.13-,88.64,8.86
4170,10.15,8.41-,72.52,7.14
4180,38.5,11.03,627.28,16.29
4190,30,243.28,632.85,21.09
4200,20,41.41,245.35,12.26
4210,80,261.58,1194.83,14.93
4220,850,12.87-,8456.28,9.94
4230,30,89.65,456.87,15.22
4240,40,310.16,734.85,18.37
5110,4166.593,1413.83,47128.86,11.31
6010,40,86.05,977.17,24.42
6020,50,54.58-,407.42,8.14
6030,30,27.97,423.19,14.1
6040,20,25.39,366.77,18.33
6050,20,28.91-,220.85,11.04
6060,7.5,0.49,113.54,15.13
6070,20,39.87,380.43,19.02
6080,5,37.91-,55.61,11.12
6090,50,134.64,804.5,16.09
7010,2000,12798.9,34154.33,17.07
7020,500,700.35,4532.97,9.06
8010,50,468.36,1755.62,35.11
