Symbol,Shares,NetIncome,Equity,BookValue,Free float
1010,1500,3030.49,28235.44,18.82,730.602
1020,300,27.25,4485.87,14.95,203.399
1030,450,522.17,7428.13,16.5,241.5
1040,330.75,85.93,5632.82,17.03,96.982
1050,723.214,2470.83,15732.67,21.75,395.326
1060,750,2032.4,13045.29,17.39,246.522
1080,650,2370.2,14368.77,22.1,319.123
1090,900,4560.31,22310.08,24.78,455.303
1120,1500,6767.64,28740.88,19.16,741.368
1140,300,-248.4,3002.18,10,231.553
1150,1500,315.53,15605.34,10.4,1048.868
1210,27.5,58.59,351.81,12.79,21.626
1211,925,403.83,16591.36,17.93,333.798
1212,74.117,204.67,1569.76,21.17,23.06
1213,30,80.24,372.17,12.4,9
1310,125,40.33,1839.58,14.71,57.695
2001,120.6,22.06,1410.58,11.69,60.3
2002,480,-60.3,4757.54,9.91,83.97
2010,3000,9061.97,108243.04,36.08,677.171
2020,250,1844.92,7055.4,28.22,92.188
2030,15,2.78,384.68,25.64,15
2040,25,197.19,858.82,34.35,15.897
2050,500,951.57,6941.79,13.88,367.579
2060,460.684,525.64,7786.32,16.9,370.956
2070,78.437,154.8,2178.78,27.77,50.983
2080,75,-59.03,1005.54,13.4,51.142
2090,31.666,88.56,474.29,14.97,17.083
2100,20,5.72,176.7,8.83,20
2110,76,104.48,1298.62,17.08,61.737
2120,43.2,35.17,776.22,17.96,38.596
2130,40,-3.62,290.52,7.26,39.999
2140,49,3.94,419.66,8.56,49
2150,25,45.53,454.52,18.18,18.15
2160,115.5,202.48,1652.14,14.3,101.066
2170,69.2,-27.28,518.55,7.49,58.88
2180,11.5,19.8,126.44,10.99,9.813
2190,68,0.87,729.15,10.72,58.005
2200,31.5,24.74,736.52,23.38,27.033
2210,128.52,-34.3,1580.71,12.29,128.52
2220,25.556,15.53,344.58,13.48,16.492
2230,63.24,300.76,1239.09,19.59,61.317
2240,60,230.15,1200.03,20,45.387
2250,450,284.98,5482.24,12.18,398.382
2260,292.53,76.97,2945.36,10.06,263.277
2270,32.5,88.08,591.8,18.2,18.917
2280,115,1096.72,5382.64,46.8,47.551
2290,562.5,-29.21,5667.71,10.07,223.424
2300,30,94,510.6,17.02,14.969
2310,333.333,140.88,4922.08,14.76,273.793
2320,40.5,110.12,580.43,14.33,40.5
2330,141.375,127.12,1670.38,11.81,135.325
2340,81.25,168.72,1383.54,17.02,24.375
2350,1500,-16.84,15477.24,10.31,608.373
2360,15,42.61,217.03,14.46,8.401
2370,40,51.11,504.11,12.6,19.191
2380,876,-1433.06,7830.82,8.93,152.63
3010,80,171.89,2222.33,27.77,57.512
3020,135,561.75,3055.16,22.63,117.922
3030,102,588.35,3076.85,30.16,88.151
3040,90,607.96,1835.15,20.39,46.179
3050,140,733.59,2461.64,17.58,61.339
3060,105,480.32,2414.18,22.99,55.138
3080,86,350.7,2030,23.6,58.534
3090,90,121.15,1098.1,12.2,85.218
4001,22.5,77.52,342.84,15.23,11.474
4002,25,107.04,481.11,19.24,11.875
4010,69.006,380.76,1624.85,23.54,36.354
4020,120,91.78,3058.05,25.48,36.771
4030,315,362.78,4981,15.81,209.077
4040,125,31.45,1386.81,11.09,104.535
4050,45,33.9,501.66,11.14,44.999
4061,10.9,-7.55,112.05,10.27,10.899
4070,15,5.42,217.09,14.47,15
4080,126.388,79.41,2401.37,18.99,63.295
4090,150,69.68,2800.75,18.67,103.484
4100,164.816,199.2,3881.25,23.54,137.616
4110,18,5.49,169.99,9.44,17.999
4130,15,-5.67,100.73,6.71,15
4140,10.8,-5.54,102.56,9.49,10.8
4150,100,92.74,1421.75,14.21,99.939
4160,10,-10.3,70.07,7,10
4170,10.15,-2.39,70.24,6.92,10.15
4180,50,10.62,616.24,12.32,39.242
4190,40,373.97,722.84,18.07,35.166
4200,25,68.9,346.51,13.86,25
