       FROM            TO CKT  DISTANCE    TYPE X------I ZERO------X  X----I POSITIVE----X  X----I NEGATIVE----X
                                                X------PHASE A-----X  X------PHASE B-----X  X------PHASE C-----X
 [9030-132    132.00]                              68.4350  -87.1376      0.0000    0.0000      0.0000    0.0000

      11930                                 L-G     1.1461  -22.6531      1.1461  -22.6531      1.1461  -22.6531
 [9030-132    132.00]                              68.0462  -87.1036      0.0000    0.0000      0.0000    0.0000

      11930                                 L-G     1.1465  -22.6539      1.1465  -22.6539      1.1465  -22.6539
 [9030-132    132.00]                              68.0488  -87.1027      0.0000    0.0000      0.0000    0.0000

      11930                                 L-G     1.1392  -22.7739      1.1392  -22.7739      1.1392  -22.7739
 [9030-132    132.00]                              68.4070  -87.1363      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.8847   -4.4552      0.8847   -4.4552      0.8847   -4.4552
 [JIHFAH      132.00]                              13.6267  -78.7680      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.9082   -4.5002      0.9082   -4.5002      0.9082   -4.5002
 [JIHFAH      132.00]                              13.7729  -78.5899      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.8774   -4.6128      0.8774   -4.6128      0.8774   -4.6128
 [JIHFAH      132.00]                              14.0864  -79.2307      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.8774   -4.6128      0.8774   -4.6128      0.8774   -4.6128
 [JIHFAH      132.00]                              14.0864  -79.2307      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.9040   -4.5100      0.9040   -4.5100      0.9040   -4.5100
 [JIHFAH      132.00]                              13.7991  -78.6655      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.9040   -4.5100      0.9040   -4.5100      0.9040   -4.5100
 [JIHFAH      132.00]                              13.7991  -78.6655      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.9031   -4.5123      0.9031   -4.5123      0.9031   -4.5123
 [JIHFAH      132.00]                              13.8053  -78.6824      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.8878   -4.5699      0.8878   -4.5699      0.8878   -4.5699
 [JIHFAH      132.00]                              13.9662  -79.0058      0.0000    0.0000      0.0000    0.0000

      18914                                 L-G     0.8832   -4.5854      0.8832   -4.5854      0.8832   -4.5854
 [JIHFAH      132.00]                              14.0090  -79.0975      0.0000    0.0000      0.0000    0.0000

      18903                                 L-G     1.0726  -16.4886      1.0726  -16.4886      1.0726  -16.4886
 [JITHAM      132.00]                              49.5702  -86.2782      0.0000    0.0000      0.0000    0.0000

