Date,Open,High,Low,Close,Vol
20160330,76.75,77.25,72.75,77.13,22706712
20160331,75.5,77.75,72,72.6,9093259
20160403,70.5,72,68.75,69.62,4061186
20160404,69.75,72.5,69.25,71.76,2030575
20160405,71,71,69.5,69.74,1345679
20160406,70.25,73,70,71.7,2582158
20160407,73,73,70.25,70.84,1055805
20160410,71.75,72,70.25,70.67,819711
20160411,70.5,71.75,70.25,70.97,855883
20160412,71,73,70.75,71.52,1377528
20160413,72,72.25,70.75,71.14,951795
20160414,71,71.25,70,70.39,763935
20160417,70.5,70.5,69,69.14,638868
20160418,69,69,66.75,68,1051193
20160419,69,71,68.5,70.56,1349452
20160420,70,70,68,69.02,1636725
20160421,69,69.75,68.25,68.84,690148
20160424,69,72.25,69,71.84,2165360
20160425,71.75,74.25,70.5,73.33,2175502
20160426,73,75.25,72,72.33,1194733
20160427,72.75,73.5,71.75,72.41,895528
20160428,72,76,72,74.09,1334946
20160501,74.25,77,73.5,75.41,1610491
20160502,75.5,78.5,75.25,77.79,1901640
20160503,78,78.5,75.25,75.36,887915
20160504,75.25,75.5,72.75,73.84,770931
20160505,74.25,74.75,73.5,73.82,881406
20160508,74.25,74.5,73.25,73.49,720862
20160509,73.75,73.75,72,73.15,669059
20160510,73,74.75,72.75,73.24,1312614
20160511,73.25,73.5,72.5,72.61,295857
20160512,73,74.25,72.5,73.49,797852
20160515,73.5,73.5,71.5,72.23,808207
20160516,72.5,72.5,71.25,71.96,360600
20160517,72.25,73.5,72.25,73.29,595397
20160518,73.5,74,73,73.09,361694
20160519,73,73,72,72.49,257163
20160522,72.25,73.25,72,72.54,204076
20160523,72.5,72.5,69.5,70.09,649961
20160524,70,70.75,69.25,69.96,367928
20160525,70.75,71.25,70.25,70.64,285812
20160526,71,71,69,69.28,317813
20160529,69,70.5,68,69.55,222156
20160530,70.25,70.25,68.5,68.6,164008
20160531,69.5,69.75,68.5,69.37,168931
20160601,69,70,69,69.38,277838
20160602,69.5,69.75,69,69.09,138763
20160605,69,69.25,67.75,68.07,236078
20160606,68,68.25,67.5,68.05,112188
20160607,68.5,69.25,68.25,69.16,136182
20160608,69.5,70.5,69.25,69.54,236966
20160609,69.5,69.75,68.75,69.01,156487
20160612,68.75,69.5,68.25,69.33,120861
20160613,69.25,71,69,70.64,338226
20160614,70.75,72.25,70.75,71.69,284212
20160615,71.5,73,71.5,71.94,370618
20160616,71.75,71.75,71,71.51,109995
20160619,72,72.5,70.5,70.98,99963
20160620,71,74.25,70.75,73.16,304013
20160621,73,73.75,72.75,73.34,276838
20160622,73.75,74,73,73.64,179726
20160623,73.25,74,73.25,73.75,175800
20160626,69.25,72.25,69.25,71.78,240437
20160627,72,73,71.75,72.45,259895
20160628,72.5,72.5,71.5,71.67,108032
20160629,71.75,72.25,71,71.3,273249
20160630,69,69.75,68.75,69.23,148974
20160710,69,70,69,70,51155
20160711,70,71,70,70.87,74649
20160712,71.25,71.5,70.75,71.49,50895
20160713,71.25,72,70.75,71.72,178602
20160714,71,71.5,70.75,71.24,171268
20160717,71.25,71.5,71,71.2,162178
20160718,71,71.5,70.75,71.25,82812
20160719,71.5,73,71.25,72.72,209617
20160720,73.25,73.75,71.5,71.56,212500
20160721,71.75,72.5,71,71.46,125963
20160724,70.75,70.75,68,68.35,250245
20160725,68.25,68.5,66.75,67.11,241089
20160726,67,67.25,66.25,66.7,211592
20160727,66.75,66.75,66.25,66.69,130201
20160728,66.5,66.75,65.25,66,179397
20160731,65.75,68,65.25,67.5,204011
20160801,68,68.25,67.5,68,76324
20160802,68,68,66.5,67,164171
20160803,66.75,66.75,65.75,65.99,172118
20160804,66.25,66.75,64.75,64.91,258705
20160807,65.25,65.75,65,64.95,81357
20160808,65.25,65.25,64.25,64.51,153819
20160809,64.75,66,64.5,66,413203
20160810,66,66,64.5,64.96,247891
20160811,64.75,64.75,63.5,63.59,310583
20160814,64,64.25,62.75,62.96,338205
20160815,63,63.25,61.75,61.95,425165
20160816,62,62.25,60.5,60.69,384267
20160817,60.5,60.75,57.25,57.63,481961
20160818,57.5,59,55.75,58.47,338633
20160821,58.75,58.75,57.5,58.12,127450
20160822,58,58,56.75,57.25,142147
20160823,57.5,58.5,57.25,57.91,120045
20160824,58,58,56,56.23,138049
20160825,55.75,56,52,52.52,754063
20160828,52.25,54.25,52,54.2,212491
20160829,53.5,54,52.5,53.08,407332
20160830,53.25,53.75,52.5,53.5,438983
20160831,53.25,53.25,50,50.25,800401
20160901,50.25,50.25,47.8,48.26,706537
20160904,48.8,51,48.5,50.25,521801
20160905,50.75,52.5,50,52.25,729436
20160906,52.5,53.25,52.25,52.53,328839
20160907,52.5,55.5,52.5,55.01,520231
20160908,55.5,57,54.75,54.96,547966
20160918,55.25,55.25,53.75,53.75,177115
20160919,53.75,54,51.5,53.79,263997
20160920,54,55.75,53.75,55.52,191486
20160921,56,56.25,54.5,55.57,115174
20160925,54,57.25,54,56.99,164329
20160926,57,58,56.5,56.82,92028
20160927,55,57,53,53.81,116092
20160928,54,56,51,51.76,210468
20160929,51,53.25,49.9,51.26,268737
20161002,51.75,51.75,48.8,48.83,120222
20161003,49.8,49.8,47,48.56,136633
20161004,49.3,49.3,48,49.15,146837
20161005,50,51.25,48.9,50.99,192736
20161006,50.75,54,50.75,53.02,349810
20161009,53.25,54,52.75,53.76,101631
20161010,53,54.5,52.25,54.38,169568
20161011,54.5,56.75,54.5,56,251538
20161012,55.75,56.25,55,55.06,93393
20161013,54.5,55,53,53.35,73617
20161016,53,53.25,52,52.2,185919
20161017,52.25,52.25,51.25,51.25,182905
20161018,51.25,51.5,48,48.2,185611
20161019,48.5,52,48.5,51.45,152949
20161020,51.75,56.5,50.75,56.45,367886
20161023,56.75,59.75,56,59,347513
20161024,59,59.75,56.75,57.25,160644
20161025,57.5,58.75,57.25,57.49,170620
20161026,57.5,59,56.75,57.17,138101
20161027,57.25,59,57.25,57.65,311798
20161030,57.5,58,57,57.13,190735
20161031,57,58,56.75,57.99,82223
20161101,58.5,59.5,58,58.7,226120
20161102,58.5,58.5,56.75,56.94,207020
20161103,57,57.5,56,56.97,416666
20161106,56.5,57.25,56.25,56.81,207191
20161107,57.25,58,57.25,57.41,200053
20161108,58,63,58,61.38,703185
20161109,60.5,63.25,58.25,61.73,781603
20161110,63,64,61.25,61.34,234259
20161113,61.75,63,61.5,62.73,265906
20161114,62.25,62.25,61,61.99,249330
20161115,62.5,62.5,60.5,61.13,172846
20161116,61.5,63,61.5,62.63,137776
