Date,Open,High,Low,Close,Vol
20150225,6.8,7.05,6.3,6.5,4369658
20150226,6.55,6.7,6,6.1,2875622
20150301,6.15,6.25,5.8,5.85,2964547
20150302,5.9,6.05,5.6,5.7,4227027
20150303,5.65,5.75,5.45,5.45,2179640
20150304,5.45,5.45,5,5.05,3491693
20150305,4.9,5.25,4.64,4.71,6258378
20150225,6.8,7.05,6.3,6.5,4369658
20150226,6.55,6.7,6,6.1,2875622
20150301,6.15,6.25,5.8,5.85,2964547
20150302,5.9,6.05,5.6,5.7,4227027
20150303,5.65,5.75,5.45,5.45,2179640
20150304,5.45,5.45,5,5.05,3491693
20150305,4.9,5.25,4.64,4.71,6258378
20150225,6.8,7.05,6.3,6.5,4369658
20150226,6.55,6.7,6,6.1,2875622
20150301,6.15,6.25,5.8,5.85,2964547
20150302,5.9,6.05,5.6,5.7,4227027
20150303,5.65,5.75,5.45,5.45,2179640
20150304,5.45,5.45,5,5.05,3491693
20150305,4.9,5.25,4.64,4.71,6258378
