Sector,Name,Date,Open,High,Low,Close,Vol
Banks,National Commercial Bank,13/11/2014,36.15,36.15,36.15,36.17,1119648
Banks,National Commercial Bank,16/11/2014,39.65,39.65,39.65,39.67,1716411
Banks,National Commercial Bank,17/11/2014,43.5,43.5,43.5,43.5,30147548
Banks,National Commercial Bank,18/11/2014,43.35,44.35,40.5,40.97,96496403
Banks,National Commercial Bank,19/11/2014,41,41.35,39.85,40.65,33136506
Banks,National Commercial Bank,20/11/2014,40.85,41.35,40.65,40.82,13804184
Banks,National Commercial Bank,23/11/2014,41.15,42,41.15,41.33,15727233
Banks,National Commercial Bank,24/11/2014,41.35,41.5,40.65,40.99,9959966
Banks,National Commercial Bank,25/11/2014,40.85,42,40.35,41.61,14954651
Banks,National Commercial Bank,26/11/2014,41.5,41.65,40.65,41.11,10404930
Banks,National Commercial Bank,27/11/2014,40.65,41.15,40.5,40.92,6639141
Banks,National Commercial Bank,30/11/2014,38.85,39.65,38.65,39.1,9829628
Banks,National Commercial Bank,01/12/2014,39,39.85,39,39.71,9600570
Banks,National Commercial Bank,02/12/2014,40,40.35,39.5,39.67,5226824
Banks,National Commercial Bank,03/12/2014,39.65,40,39.5,39.81,3652209
Banks,National Commercial Bank,04/12/2014,40,40.15,39.85,40.03,4213469
Banks,National Commercial Bank,07/12/2014,39.65,40.15,39.5,39.75,4415925
Banks,National Commercial Bank,08/12/2014,39.65,39.85,39,39.01,3950408
Banks,National Commercial Bank,09/12/2014,38.35,38.5,37.35,38.33,5885141
Banks,National Commercial Bank,10/12/2014,38.15,38.5,36.85,37.12,5846496
Banks,National Commercial Bank,11/12/2014,35.5,38,35.35,37.69,10105128
Banks,National Commercial Bank,14/12/2014,35.85,37.15,35.65,36.93,7190279
Banks,National Commercial Bank,15/12/2014,37.15,37.85,36.35,36.56,7612358
Banks,National Commercial Bank,16/12/2014,36,36,33.65,34.25,10919009
Banks,National Commercial Bank,17/12/2014,34.5,36.65,34.5,36.43,9020720
Banks,National Commercial Bank,18/12/2014,37.85,40,37.85,39.83,17250960
Banks,National Commercial Bank,21/12/2014,40.85,41.15,38.35,39.45,11786753
Banks,National Commercial Bank,22/12/2014,39,39.85,38.5,39.77,4693497
Banks,National Commercial Bank,23/12/2014,39.35,39.65,39.15,39.22,3264810
Banks,National Commercial Bank,24/12/2014,39.5,40.35,39.35,39.73,9253646
Banks,National Commercial Bank,25/12/2014,39.5,40,39.35,39.45,4774527
Banks,National Commercial Bank,28/12/2014,38.85,39.5,38.65,39.13,4566512
Banks,National Commercial Bank,29/12/2014,38.85,39.15,38.65,38.8,3038543
Banks,National Commercial Bank,30/12/2014,38.35,38.35,37.35,37.51,4070343
Banks,National Commercial Bank,31/12/2014,37.5,38,34.85,36.65,4829339
Banks,National Commercial Bank,01/01/2015,37,37.35,36.5,37.32,2021822
Banks,National Commercial Bank,04/01/2015,37.15,37.5,36.85,37.27,1556438
Banks,National Commercial Bank,05/01/2015,36.65,36.85,35.85,35.99,1013387
Banks,National Commercial Bank,06/01/2015,34.65,35.85,34.35,35.61,2840703
Banks,National Commercial Bank,07/01/2015,35.65,36.65,35.5,36.61,2633229
Banks,National Commercial Bank,08/01/2015,37,37.35,36.85,37.29,3391865
Banks,National Commercial Bank,11/01/2015,37,38,37,37.9,5433863
Banks,National Commercial Bank,12/01/2015,37.65,38.85,37.35,38.55,2321564
Banks,National Commercial Bank,13/01/2015,38,39.15,37.5,38.78,3666554
Banks,National Commercial Bank,14/01/2015,38.85,39,38.35,38.73,3809472
Banks,National Commercial Bank,15/01/2015,38.5,38.65,38.15,38.17,2414456
Banks,National Commercial Bank,18/01/2015,38.15,38.5,38,38.12,875201
Banks,National Commercial Bank,19/01/2015,38,38.15,37.35,37.39,1235060
Banks,National Commercial Bank,20/01/2015,37.35,37.85,37,37.67,1076310
Banks,National Commercial Bank,21/01/2015,37.65,38.5,37.65,38.23,3344954
