Sector,Name,Date,Open,High,Low,Close,Vol
Insurance,Trade Union Cooperative Insurance Co.,10/02/2008,43.6,44.3,39.3,39.3,6733242
Insurance,Trade Union Cooperative Insurance Co.,11/02/2008,38.2,40.5,35.5,36.1,6308011
Insurance,Trade Union Cooperative Insurance Co.,12/02/2008,36.4,38.4,35.7,38.2,3796416
Insurance,Trade Union Cooperative Insurance Co.,13/02/2008,38.9,40.2,37.5,38.4,6226360
Insurance,Trade Union Cooperative Insurance Co.,16/02/2008,38,38.6,37.3,37.7,1721390
Insurance,Trade Union Cooperative Insurance Co.,17/02/2008,37.5,38,36.8,37.5,1718867
Insurance,Trade Union Cooperative Insurance Co.,18/02/2008,37.3,38.4,37.1,37.7,1744227
Insurance,Trade Union Cooperative Insurance Co.,19/02/2008,37.7,38.9,37.5,38,2910807
Insurance,Trade Union Cooperative Insurance Co.,20/02/2008,37.7,38.2,37.5,37.7,1095210
Insurance,Trade Union Cooperative Insurance Co.,23/02/2008,37.7,39.1,37.7,38.4,2684536
Insurance,Trade Union Cooperative Insurance Co.,24/02/2008,38.6,42.1,38.2,40.2,6213668
Insurance,Trade Union Cooperative Insurance Co.,25/02/2008,40.5,41.8,39.8,40.2,3022748
Insurance,Trade Union Cooperative Insurance Co.,26/02/2008,40,40,38.2,38.9,1259943
Insurance,Trade Union Cooperative Insurance Co.,27/02/2008,38.6,39.3,38.2,38.6,871926
Insurance,Trade Union Cooperative Insurance Co.,01/03/2008,38.4,39.3,38.2,39.1,1778581
Insurance,Trade Union Cooperative Insurance Co.,02/03/2008,38.9,38.9,37.1,37.3,1014798
Insurance,Trade Union Cooperative Insurance Co.,03/03/2008,36.8,37.3,36.1,36.8,1052544
Insurance,Trade Union Cooperative Insurance Co.,04/03/2008,37.1,37.7,37.1,37.7,980520
Insurance,Trade Union Cooperative Insurance Co.,05/03/2008,37.5,37.5,36.8,36.8,1135951
Insurance,Trade Union Cooperative Insurance Co.,08/03/2008,36.6,36.8,36.1,36.4,831263
Insurance,Trade Union Cooperative Insurance Co.,09/03/2008,36.4,36.8,35.7,36.1,871376
Insurance,Trade Union Cooperative Insurance Co.,10/03/2008,36.4,36.4,34.8,35,854571
Insurance,Trade Union Cooperative Insurance Co.,11/03/2008,35,35.9,34.6,35.5,1533337
Insurance,Trade Union Cooperative Insurance Co.,12/03/2008,35.9,35.9,35.2,35.2,1138337
Insurance,Trade Union Cooperative Insurance Co.,15/03/2008,35.2,35.2,33.4,33.4,1077742
Insurance,Trade Union Cooperative Insurance Co.,16/03/2008,33.2,33.9,33.2,33.2,682457
Insurance,Trade Union Cooperative Insurance Co.,17/03/2008,33.2,33.6,32.1,32.3,1182158
Insurance,Trade Union Cooperative Insurance Co.,18/03/2008,32.5,32.7,31.8,32.5,618595
Insurance,Trade Union Cooperative Insurance Co.,19/03/2008,32.5,32.7,31.6,31.6,623951
Insurance,Trade Union Cooperative Insurance Co.,22/03/2008,31.4,31.4,29.6,30,643562
Insurance,Trade Union Cooperative Insurance Co.,23/03/2008,29.8,30.2,29.1,29.1,464592
Insurance,Trade Union Cooperative Insurance Co.,24/03/2008,29.1,30.9,28.2,30,1118263
Insurance,Trade Union Cooperative Insurance Co.,25/03/2008,30,30.7,29.8,30.2,1093457
Insurance,Trade Union Cooperative Insurance Co.,26/03/2008,30.2,30.2,29.1,29.1,520335
Insurance,Trade Union Cooperative Insurance Co.,29/03/2008,28.9,29.1,27.7,27.7,428800
Insurance,Trade Union Cooperative Insurance Co.,30/03/2008,27.7,28.9,27.5,28.4,637767
Insurance,Trade Union Cooperative Insurance Co.,31/03/2008,28.6,30,28.4,29.1,1112774
Insurance,Trade Union Cooperative Insurance Co.,01/04/2008,28.9,29.3,28.6,28.6,407800
Insurance,Trade Union Cooperative Insurance Co.,02/04/2008,28.9,29.3,28.9,29.1,308442
Insurance,Trade Union Cooperative Insurance Co.,05/04/2008,29.3,29.8,29.3,29.3,424427
Insurance,Trade Union Cooperative Insurance Co.,06/04/2008,29.3,29.3,28.6,28.6,249355
Insurance,Trade Union Cooperative Insurance Co.,07/04/2008,28.6,30,28.4,29.1,780474
Insurance,Trade Union Cooperative Insurance Co.,08/04/2008,29.1,29.3,28.6,28.6,409394
Insurance,Trade Union Cooperative Insurance Co.,09/04/2008,28.9,28.9,28.4,28.6,312403
Insurance,Trade Union Cooperative Insurance Co.,12/04/2008,28.4,28.6,28.2,28.2,342357
Insurance,Trade Union Cooperative Insurance Co.,13/04/2008,28.2,28.6,28,28.2,574603
Insurance,Trade Union Cooperative Insurance Co.,14/04/2008,28.4,28.6,28.2,28.2,327689
Insurance,Trade Union Cooperative Insurance Co.,15/04/2008,28.2,28.4,27.7,27.7,330986
Insurance,Trade Union Cooperative Insurance Co.,16/04/2008,28,28.2,27.7,28,241324
Insurance,Trade Union Cooperative Insurance Co.,19/04/2008,28,28.6,28,28,487403
Insurance,Trade Union Cooperative Insurance Co.,20/04/2008,28,29.3,27.7,28.6,1382204
Insurance,Trade Union Cooperative Insurance Co.,21/04/2008,28.9,29.1,28.4,28.4,572656
Insurance,Trade Union Cooperative Insurance Co.,22/04/2008,28.6,29.1,28.6,28.6,411170
Insurance,Trade Union Cooperative Insurance Co.,23/04/2008,28.9,29.1,28.6,28.9,537863
Insurance,Trade Union Cooperative Insurance Co.,26/04/2008,28.9,29.1,28.6,29.1,416713
Insurance,Trade Union Cooperative Insurance Co.,27/04/2008,28.9,29.1,28.6,28.6,433532
Insurance,Trade Union Cooperative Insurance Co.,28/04/2008,28.6,30,28.4,29.6,975464
Insurance,Trade Union Cooperative Insurance Co.,29/04/2008,29.6,29.6,28.9,29.3,844881
Insurance,Trade Union Cooperative Insurance Co.,30/04/2008,29.6,30.2,29.6,29.6,1064323
Insurance,Trade Union Cooperative Insurance Co.,03/05/2008,29.8,30.2,29.6,29.8,331757
Insurance,Trade Union Cooperative Insurance Co.,04/05/2008,29.6,29.8,29.3,29.3,355048
Insurance,Trade Union Cooperative Insurance Co.,05/05/2008,29.3,29.3,28.9,28.9,317488
Insurance,Trade Union Cooperative Insurance Co.,06/05/2008,28.9,29.3,28.6,28.6,446588
Insurance,Trade Union Cooperative Insurance Co.,07/05/2008,28.6,28.9,28.2,28.4,405433
Insurance,Trade Union Cooperative Insurance Co.,10/05/2008,28,28.2,26.1,28,609948
Insurance,Trade Union Cooperative Insurance Co.,11/05/2008,28.2,29.1,28,28.4,656336
Insurance,Trade Union Cooperative Insurance Co.,12/05/2008,28.4,29.1,27.5,29.1,805408
Insurance,Trade Union Cooperative Insurance Co.,13/05/2008,28.6,29.8,28.6,29.1,955818
Insurance,Trade Union Cooperative Insurance Co.,14/05/2008,29.1,29.1,28.6,28.9,769368
Insurance,Trade Union Cooperative Insurance Co.,17/05/2008,28.6,29.1,27.3,28.2,731762
Insurance,Trade Union Cooperative Insurance Co.,18/05/2008,28.4,28.9,28.2,28.6,1086066
Insurance,Trade Union Cooperative Insurance Co.,19/05/2008,28.9,29.6,28.6,29.3,1465899
Insurance,Trade Union Cooperative Insurance Co.,20/05/2008,29.3,29.6,28.4,28.9,1256730
Insurance,Trade Union Cooperative Insurance Co.,21/05/2008,28.6,28.9,28.2,28.4,654951
Insurance,Trade Union Cooperative Insurance Co.,24/05/2008,28,28,26.6,27.3,694014
Insurance,Trade Union Cooperative Insurance Co.,25/05/2008,27.3,27.3,26.8,27.1,317121
Insurance,Trade Union Cooperative Insurance Co.,26/05/2008,26.8,27.1,26.1,26.1,302804
Insurance,Trade Union Cooperative Insurance Co.,27/05/2008,25.9,26.8,25.9,26.1,436014
Insurance,Trade Union Cooperative Insurance Co.,28/05/2008,25.7,25.9,25,25.2,369923
Insurance,Trade Union Cooperative Insurance Co.,31/05/2008,25.2,25.2,24.3,24.55,472736
Insurance,Trade Union Cooperative Insurance Co.,01/06/2008,24.55,25,24.1,24.3,372466
Insurance,Trade Union Cooperative Insurance Co.,02/06/2008,24.3,24.75,24.1,24.3,303251
Insurance,Trade Union Cooperative Insurance Co.,03/06/2008,24.55,25.2,24.3,25.2,236157
Insurance,Trade Union Cooperative Insurance Co.,04/06/2008,25.2,25.9,25,25.5,540682
Insurance,Trade Union Cooperative Insurance Co.,07/06/2008,25.7,25.7,25.2,25.2,380598
Insurance,Trade Union Cooperative Insurance Co.,08/06/2008,25,25,24.3,24.55,279660
Insurance,Trade Union Cooperative Insurance Co.,09/06/2008,24.55,24.55,24.1,24.3,255035
Insurance,Trade Union Cooperative Insurance Co.,10/06/2008,24.3,24.55,24.1,24.55,170405
Insurance,Trade Union Cooperative Insurance Co.,11/06/2008,24.55,25.2,24.3,24.75,392467
Insurance,Trade Union Cooperative Insurance Co.,14/06/2008,25,25.2,24.75,25,472088
Insurance,Trade Union Cooperative Insurance Co.,15/06/2008,25,25.9,24.55,25,1342927
Insurance,Trade Union Cooperative Insurance Co.,16/06/2008,25,25.5,24.75,25.5,800693
Insurance,Trade Union Cooperative Insurance Co.,17/06/2008,25.7,26.8,25.5,26.6,1096422
Insurance,Trade Union Cooperative Insurance Co.,18/06/2008,26.6,27.5,26.1,26.8,2227240
Insurance,Trade Union Cooperative Insurance Co.,21/06/2008,26.4,26.4,25.5,25.9,839433
Insurance,Trade Union Cooperative Insurance Co.,22/06/2008,25.7,26.4,25.5,26.1,638367
Insurance,Trade Union Cooperative Insurance Co.,23/06/2008,26.1,26.8,25.9,26.4,1014829
Insurance,Trade Union Cooperative Insurance Co.,24/06/2008,26.4,28,26.1,27.3,2263881
Insurance,Trade Union Cooperative Insurance Co.,25/06/2008,27.5,28.6,26.1,26.4,2273041
Insurance,Trade Union Cooperative Insurance Co.,28/06/2008,25.9,25.9,23.85,23.85,767351
Insurance,Trade Union Cooperative Insurance Co.,29/06/2008,23.4,24.3,22.95,24.1,1144751
Insurance,Trade Union Cooperative Insurance Co.,30/06/2008,24.3,24.3,23.65,23.85,772692
Insurance,Trade Union Cooperative Insurance Co.,01/07/2008,23.85,25.9,23.65,25.7,1807187
Insurance,Trade Union Cooperative Insurance Co.,02/07/2008,25.7,26.6,25.5,25.9,1318198
Insurance,Trade Union Cooperative Insurance Co.,05/07/2008,25.9,26.8,25.5,26.4,1601027
Insurance,Trade Union Cooperative Insurance Co.,06/07/2008,26.1,27.1,25.9,26.1,1633781
Insurance,Trade Union Cooperative Insurance Co.,07/07/2008,26.4,27.1,24.55,24.55,1762323
Insurance,Trade Union Cooperative Insurance Co.,08/07/2008,24.75,25.5,24.1,24.55,906040
Insurance,Trade Union Cooperative Insurance Co.,09/07/2008,24.55,24.75,23.4,23.65,666344
Insurance,Trade Union Cooperative Insurance Co.,12/07/2008,23.65,23.85,22.5,22.95,693142
Insurance,Trade Union Cooperative Insurance Co.,13/07/2008,22.95,23.85,22.95,23.65,464043
Insurance,Trade Union Cooperative Insurance Co.,14/07/2008,23.4,23.65,22.95,22.95,211621
Insurance,Trade Union Cooperative Insurance Co.,15/07/2008,22.75,22.75,20.7,20.9,613870
Insurance,Trade Union Cooperative Insurance Co.,16/07/2008,20.7,21.15,20.45,21.15,480610
Insurance,Trade Union Cooperative Insurance Co.,19/07/2008,20.9,21.8,20.9,21.35,407837
Insurance,Trade Union Cooperative Insurance Co.,20/07/2008,21.35,21.35,20.45,20.9,460664
Insurance,Trade Union Cooperative Insurance Co.,21/07/2008,20.7,21.35,20.45,21.15,547428
Insurance,Trade Union Cooperative Insurance Co.,22/07/2008,21.35,23.2,21.35,22.25,2133150
Insurance,Trade Union Cooperative Insurance Co.,23/07/2008,22.25,22.25,21.35,21.35,785070
Insurance,Trade Union Cooperative Insurance Co.,26/07/2008,20.9,21.15,20.7,20.9,306270
Insurance,Trade Union Cooperative Insurance Co.,27/07/2008,21.15,21.35,21.15,21.15,244824
Insurance,Trade Union Cooperative Insurance Co.,28/07/2008,21.15,21.15,20.7,20.7,233369
Insurance,Trade Union Cooperative Insurance Co.,29/07/2008,20.9,21.35,20.45,21.15,413081
Insurance,Trade Union Cooperative Insurance Co.,30/07/2008,20.9,21.8,20.9,21.15,750005
Insurance,Trade Union Cooperative Insurance Co.,02/08/2008,20.9,21.15,20.25,20.7,434063
Insurance,Trade Union Cooperative Insurance Co.,03/08/2008,20.9,21.15,20.7,20.9,252958
Insurance,Trade Union Cooperative Insurance Co.,04/08/2008,20.9,21.15,20.45,20.7,247498
Insurance,Trade Union Cooperative Insurance Co.,05/08/2008,20.7,20.9,20.45,20.7,173756
Insurance,Trade Union Cooperative Insurance Co.,06/08/2008,20.7,21.6,20.7,21.15,505098
Insurance,Trade Union Cooperative Insurance Co.,09/08/2008,21.15,21.15,20,20,464822
Insurance,Trade Union Cooperative Insurance Co.,10/08/2008,20,20.25,18.65,18.85,275568
Insurance,Trade Union Cooperative Insurance Co.,11/08/2008,19.1,19.75,19.1,19.55,226227
Insurance,Trade Union Cooperative Insurance Co.,12/08/2008,19.55,19.75,19.1,19.75,303136
Insurance,Trade Union Cooperative Insurance Co.,13/08/2008,19.55,20,19.1,19.3,200695
Insurance,Trade Union Cooperative Insurance Co.,16/08/2008,19.1,19.55,19.1,19.55,169195
Insurance,Trade Union Cooperative Insurance Co.,17/08/2008,19.55,20.25,19.55,20,572660
Insurance,Trade Union Cooperative Insurance Co.,18/08/2008,20,20,19.3,19.55,287548
Insurance,Trade Union Cooperative Insurance Co.,19/08/2008,19.75,19.75,19.3,19.3,280547
Insurance,Trade Union Cooperative Insurance Co.,20/08/2008,19.3,19.3,19.1,19.1,142569
Insurance,Trade Union Cooperative Insurance Co.,23/08/2008,19.3,19.55,19.1,19.3,164387
Insurance,Trade Union Cooperative Insurance Co.,24/08/2008,19.55,19.75,19.3,19.55,289101
Insurance,Trade Union Cooperative Insurance Co.,25/08/2008,19.3,19.55,19.3,19.55,168793
Insurance,Trade Union Cooperative Insurance Co.,26/08/2008,19.55,20.25,19.55,19.75,714933
Insurance,Trade Union Cooperative Insurance Co.,27/08/2008,20,20,19.55,19.55,327859
