Sector,Name,Date,Open,High,Low,Close,Vol
Capital Goods,Saudi Industrial Export Co.,03/01/2002,11.62,11.62,11.62,11.62,1856
Capital Goods,Saudi Industrial Export Co.,05/01/2002,11.62,11.62,11.62,11.62,13252
Capital Goods,Saudi Industrial Export Co.,06/01/2002,11.62,11.62,11.62,11.62,26410
Capital Goods,Saudi Industrial Export Co.,07/01/2002,11.62,11.62,11.62,11.62,9001
Capital Goods,Saudi Industrial Export Co.,08/01/2002,11.62,12.63,11.62,12.13,72469
Capital Goods,Saudi Industrial Export Co.,09/01/2002,12.13,12.13,11.62,11.62,44907
Capital Goods,Saudi Industrial Export Co.,10/01/2002,11.62,12.13,11.62,11.62,31917
Capital Goods,Saudi Industrial Export Co.,12/01/2002,11.62,12.13,12.13,12.13,23416
Capital Goods,Saudi Industrial Export Co.,13/01/2002,12.13,12.63,12.13,12.63,194848
Capital Goods,Saudi Industrial Export Co.,14/01/2002,12.63,12.63,12.63,12.63,24935
Capital Goods,Saudi Industrial Export Co.,15/01/2002,12.63,12.63,12.13,12.13,8130
Capital Goods,Saudi Industrial Export Co.,16/01/2002,12.13,12.13,12.13,12.13,19818
Capital Goods,Saudi Industrial Export Co.,17/01/2002,12.13,0,0,12.13,40
Capital Goods,Saudi Industrial Export Co.,19/01/2002,12.13,12.13,12.13,12.13,22268
Capital Goods,Saudi Industrial Export Co.,20/01/2002,12.13,12.63,12.13,12.63,8165
Capital Goods,Saudi Industrial Export Co.,21/01/2002,12.63,12.63,12.63,12.63,65289
Capital Goods,Saudi Industrial Export Co.,22/01/2002,12.63,13.14,12.63,13.14,137541
Capital Goods,Saudi Industrial Export Co.,23/01/2002,13.14,13.64,13.14,13.14,191948
Capital Goods,Saudi Industrial Export Co.,24/01/2002,13.14,13.14,13.14,13.14,12618
Capital Goods,Saudi Industrial Export Co.,26/01/2002,13.14,13.14,12.63,12.63,38820
Capital Goods,Saudi Industrial Export Co.,27/01/2002,12.63,13.14,13.14,13.14,1485
Capital Goods,Saudi Industrial Export Co.,28/01/2002,13.14,12.63,12.63,12.63,7423
Capital Goods,Saudi Industrial Export Co.,29/01/2002,12.63,12.63,12.63,12.63,6309
Capital Goods,Saudi Industrial Export Co.,30/01/2002,12.63,12.63,12.63,12.63,45426
Capital Goods,Saudi Industrial Export Co.,31/01/2002,12.63,0,0,12.63,1485
Capital Goods,Saudi Industrial Export Co.,02/02/2002,12.63,12.63,12.63,12.63,36321
Capital Goods,Saudi Industrial Export Co.,03/02/2002,12.63,12.63,12.63,12.63,1856
Capital Goods,Saudi Industrial Export Co.,04/02/2002,12.63,12.63,12.63,12.63,3083
Capital Goods,Saudi Industrial Export Co.,05/02/2002,12.63,0,0,12.63,633
Capital Goods,Saudi Industrial Export Co.,06/02/2002,12.63,12.63,12.13,12.13,24722
Capital Goods,Saudi Industrial Export Co.,07/02/2002,12.13,12.63,12.13,12.63,41176
Capital Goods,Saudi Industrial Export Co.,09/02/2002,12.63,12.13,12.13,12.13,9278
Capital Goods,Saudi Industrial Export Co.,10/02/2002,12.13,12.13,12.13,12.13,29938
Capital Goods,Saudi Industrial Export Co.,11/02/2002,12.13,12.13,11.62,12.13,35173
Capital Goods,Saudi Industrial Export Co.,12/02/2002,12.13,12.13,12.13,12.13,14845
Capital Goods,Saudi Industrial Export Co.,13/02/2002,12.13,12.13,11.62,12.13,43927
Capital Goods,Saudi Industrial Export Co.,14/02/2002,12.13,12.13,12.13,12.13,21773
