Sector,Name,Date,Open,High,Low,Close,Vol
Retailing,Saudi Company for Hardware,13/05/2015,0,0,0,56.33,22785
Retailing,Saudi Company for Hardware,14/05/2015,0,0,0,61.83,67211
Retailing,Saudi Company for Hardware,17/05/2015,68,68,68,68,318689
Retailing,Saudi Company for Hardware,18/05/2015,74.67,74.67,74.67,74.67,981425
Retailing,Saudi Company for Hardware,19/05/2015,79.17,82,76.83,82,8745611
Retailing,Saudi Company for Hardware,20/05/2015,83.33,90.17,82.33,85.69,11240835
Retailing,Saudi Company for Hardware,21/05/2015,86.67,91.5,86.5,89.41,5861841
Retailing,Saudi Company for Hardware,24/05/2015,91.83,93.33,90,90.85,2761371
Retailing,Saudi Company for Hardware,25/05/2015,91.17,91.17,88.5,88.85,1421891
Retailing,Saudi Company for Hardware,26/05/2015,88.67,90.33,87.33,87.78,1416719
Retailing,Saudi Company for Hardware,27/05/2015,88,88.33,86.67,87.49,635835
Retailing,Saudi Company for Hardware,28/05/2015,87.5,95.33,87.5,93.6,4506911
Retailing,Saudi Company for Hardware,31/05/2015,94.67,98.83,94.33,95.42,3512505
Retailing,Saudi Company for Hardware,01/06/2015,95.33,97.17,94.33,95.11,1341665
Retailing,Saudi Company for Hardware,02/06/2015,95.83,98,95.33,96.37,2068896
Retailing,Saudi Company for Hardware,03/06/2015,97.17,97.33,95.5,95.76,766980
Retailing,Saudi Company for Hardware,04/06/2015,95.83,97,95.67,95.86,561687
Retailing,Saudi Company for Hardware,07/06/2015,95.67,96.83,95,95.17,405551
Retailing,Saudi Company for Hardware,08/06/2015,95.17,95.17,90.67,92.44,848207
Retailing,Saudi Company for Hardware,09/06/2015,93,93.17,89.67,91.01,419054
Retailing,Saudi Company for Hardware,10/06/2015,91.5,92.17,90.5,90.59,381585
Retailing,Saudi Company for Hardware,11/06/2015,91.33,91.33,90.17,90.31,292479
Retailing,Saudi Company for Hardware,14/06/2015,90,90.67,89.5,90.51,172346
Retailing,Saudi Company for Hardware,15/06/2015,90,90.67,89.83,90.18,162152
Retailing,Saudi Company for Hardware,16/06/2015,90.67,93.17,90.67,91.13,449336
Retailing,Saudi Company for Hardware,17/06/2015,91.17,91.33,89.33,89.91,203508
Retailing,Saudi Company for Hardware,18/06/2015,90.5,90.83,89.83,90.01,108141
Retailing,Saudi Company for Hardware,21/06/2015,90.5,90.67,88.67,89.23,225464
Retailing,Saudi Company for Hardware,22/06/2015,89.17,90.33,88.33,89.29,274152
Retailing,Saudi Company for Hardware,23/06/2015,89.17,90.33,88.17,89.13,207137
Retailing,Saudi Company for Hardware,24/06/2015,89.33,91.83,88.83,90.43,335111
Retailing,Saudi Company for Hardware,25/06/2015,90.33,91.33,90,90.51,133382
Retailing,Saudi Company for Hardware,28/06/2015,90.67,91.5,89.33,90.14,224520
Retailing,Saudi Company for Hardware,29/06/2015,89.5,89.67,88.33,88.98,151979
Retailing,Saudi Company for Hardware,30/06/2015,88.33,89.33,88,88.99,320651
Retailing,Saudi Company for Hardware,01/07/2015,88.83,89.33,88.33,89.14,299934
Retailing,Saudi Company for Hardware,02/07/2015,88.67,89,88,88.1,195171
Retailing,Saudi Company for Hardware,05/07/2015,88,89.33,85.33,87.95,258548
Retailing,Saudi Company for Hardware,06/07/2015,85.83,88.67,85.83,88.34,252284
Retailing,Saudi Company for Hardware,07/07/2015,88.33,88.33,87.83,87.84,36489
Retailing,Saudi Company for Hardware,08/07/2015,88.5,88.67,87.83,88.03,248768
Retailing,Saudi Company for Hardware,09/07/2015,88.33,89,88,88.33,166566
Retailing,Saudi Company for Hardware,12/07/2015,88.67,88.67,87.67,88.2,47291
Retailing,Saudi Company for Hardware,13/07/2015,88.67,88.67,87,87.27,278316
Retailing,Saudi Company for Hardware,14/07/2015,87,87.67,87,87.62,266847
Retailing,Saudi Company for Hardware,15/07/2015,87.5,87.67,86.5,86.66,287831
Retailing,Saudi Company for Hardware,22/07/2015,87.17,87.67,86.17,86.93,160209
Retailing,Saudi Company for Hardware,23/07/2015,87,87.5,86.67,86.81,150198
Retailing,Saudi Company for Hardware,26/07/2015,86.67,86.67,85,85.27,118035
Retailing,Saudi Company for Hardware,27/07/2015,85,85,82.67,83,202191
Retailing,Saudi Company for Hardware,28/07/2015,82.67,83.83,82.67,83.36,46965
Retailing,Saudi Company for Hardware,29/07/2015,83.83,83.83,81,81.1,203391
Retailing,Saudi Company for Hardware,30/07/2015,81,81.5,80,81.38,250577
Retailing,Saudi Company for Hardware,02/08/2015,81.33,81.33,76.67,78.11,314882
Retailing,Saudi Company for Hardware,03/08/2015,77.83,79.33,77.33,78.83,63329
Retailing,Saudi Company for Hardware,04/08/2015,78.67,79,77.17,77.81,192294
Retailing,Saudi Company for Hardware,05/08/2015,78.33,78.83,77.67,77.93,107384
Retailing,Saudi Company for Hardware,06/08/2015,77.33,77.5,75.33,75.99,124524
Retailing,Saudi Company for Hardware,09/08/2015,74,77,74,75.99,102345
Retailing,Saudi Company for Hardware,10/08/2015,76.17,77.5,75.67,76.21,182168
Retailing,Saudi Company for Hardware,11/08/2015,76.67,77,75.33,75.67,111255
Retailing,Saudi Company for Hardware,12/08/2015,75.33,75.33,72.67,73.98,330785
Retailing,Saudi Company for Hardware,13/08/2015,74.67,74.67,72.67,73.44,257256
Retailing,Saudi Company for Hardware,16/08/2015,72.67,73.5,70.67,71.59,184913
