Sector,Name,Date,Open,High,Low,Close,Vol
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,23/02/2010,151.72,152.41,147.77,147.77,667686
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,24/02/2010,147.77,148.97,146.05,147.18,401762
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,27/02/2010,147.25,147.77,144.33,145.46,236378
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,28/02/2010,144.85,145.53,143.81,143.75,226727
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,01/03/2010,143.81,145.53,143.13,144.33,181687
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,02/03/2010,144.85,146.05,143.81,144.91,245266
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,03/03/2010,144.85,146.56,144.33,145.46,311603
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,06/03/2010,145.53,147.25,144.85,145.46,264557
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,07/03/2010,144.85,145.53,144.33,144.91,99327
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,08/03/2010,144.85,144.85,142.61,142.89,227457
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,09/03/2010,142.96,142.96,141.41,142.61,105579
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,10/03/2010,142.61,142.96,142.1,142.89,67068
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,13/03/2010,142.96,143.81,142.61,143.75,134930
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,14/03/2010,143.13,145.53,142.96,144.91,233537
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,15/03/2010,144.85,145.53,143.81,144.33,147488
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,16/03/2010,145.53,149.48,145.53,146.63,565057
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,17/03/2010,147.25,147.25,145.53,145.46,155143
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,20/03/2010,145.53,146.05,145.53,145.46,96688
Consumer Durables & Apparel,Al Sorayai Trading and Industrial Group,21/03/2010,145.53,145.53,144.85,145.46,82972
