Output/8914-9030-8914Outage2027ModifiedCIM5.out
SEC 2022 PEAK BASE CASE
                    140            141            142      
        Time(s) 18916 GHAZAL S 179151 8915 LV 179221 8922 LV
                            VC      -1 STCM I      -1 STCM I
       0.114996       0.785651       0.958637       0.487289
       0.115829       0.794906       0.968472       0.502884
       0.116662       0.804495       0.975863       0.519203
       0.117495       0.814402       0.981541       0.536202
       0.118329        0.82461        0.98588       0.553837
       0.119162       0.835105       0.989199       0.572066
       0.119995        0.84587       0.991738       0.590844
       0.120829       0.856892       0.993681        0.61013
       0.121662       0.868154       0.995166       0.629879
       0.122495       0.879642       0.996302       0.650051
       0.123329       0.891343       0.997172       0.670604
       0.124162       0.903242       0.997837       0.691496
       0.124995       0.915326       0.998345       0.712686
       0.125828       0.927582       0.998734       0.734137
       0.126662       0.939996       0.999032       0.755807
       0.127495       0.952556       0.999259        0.77766
       0.128328        0.96525       0.999434       0.799658
       0.129162       0.978065       0.999567       0.821764
       0.129995       0.990989       0.999669       0.843944
       0.130828        1.00401       0.999746       0.866161
       0.131662        1.01712       0.999806       0.888384
       0.132495        1.03031       0.999852       0.910578
       0.133328        1.04356       0.999887       0.932713
       0.134162        1.05687       0.999913        0.94967
       0.134995        1.07022       0.999934       0.961295
       0.135828        1.08361       0.999949       0.970431
       0.136661        1.09703       0.999961       0.977376
       0.137495        1.11047        0.99997       0.982695
       0.138328        1.12323       0.999977       0.986763
       0.139161        1.13558       0.999983       0.989875
       0.139995        1.14752       0.999987       0.992255
       0.140828        1.15907        0.99999       0.994076
       0.141661        1.17024       0.999992       0.995469
       0.142495        1.18105       0.999994       0.996534
       0.143328         1.1915       0.999995       0.997349
       0.144161        1.20161       0.999996       0.997972
       0.144994        1.21138       0.999997       0.998449
       0.145828        1.22084       0.999998       0.998813
       0.146661        1.22999       0.999998       0.999092
       0.147494        1.23884       0.999999       0.999306
       0.148328        1.24739       0.999999       0.999469
       0.149161        1.25567       0.999999       0.999594
       0.149994        1.26368       0.999999       0.999689
       0.150828        1.27142              1       0.999762
       0.151661        1.27891              1       0.999818
       0.152494        1.28615              1       0.999861
       0.153327        1.29316              1       0.999894
       0.154161        1.29994              1       0.999919
       0.154994        1.30649              1       0.999938
       0.155827        1.31284              1       0.999952
       0.156661        1.31897              1       0.999964
       0.157494         1.3249              1       0.999972
       0.158327        1.33064              1       0.999979
       0.159161        1.33619              1       0.999984
       0.159994        1.34155              1       0.999988
       0.160827        1.34675              1        0.99999
        0.16166        1.35177              1       0.999993
       0.162494        1.35663              1       0.999994
       0.163327        1.36132              1       0.999996
        0.16416        1.36587              1       0.999997
       0.164994        1.37026              1       0.999997
       0.165827        1.37451              1       0.999998
        0.16666        1.37863              1       0.999999
       0.167494         1.3826              1       0.999999
       0.168327        1.38645              1       0.999999
        0.16916        1.39017              1       0.999999
       0.169994        1.39377              1              1
       0.170827        1.39725              1              1
        0.17166        1.40062              1              1
       0.172493        1.40387              1              1
       0.173327        1.40702              1              1
        0.17416        1.41007              1              1
       0.174993        1.41302              1              1
       0.175827        1.41587              1              1
        0.17666        1.41862              1              1
       0.177493        1.42129              1              1
       0.178327        1.42387              1              1
        0.17916        1.42636              1              1
       0.179993        1.42878              1              1
       0.180826        1.43111              1              1
        0.18166        1.43337              1              1
       0.182493        1.43555              1              1
       0.183326        1.43766              1              1
        0.18416        1.43971              1              1
       0.184993        1.44168              1              1
       0.185826        1.44359              1              1
        0.18666        1.44544              1              1
       0.187493        1.44723              1              1
       0.188326        1.44896              1              1
       0.189159        1.45063              1              1
       0.189993        1.45225              1              1
       0.190826        1.45381              1              1
       0.191659        1.45533              1              1
       0.192493        1.45679              1              1
       0.193326        1.45821              1              1
       0.194159        1.45958              1              1
       0.194993         1.4609              1              1
       0.195826        1.46218              1              1
       0.196659        1.46342              1              1
       0.197493        1.46462              1              1
       0.198326        1.46578              1              1
       0.199159         1.4669              1              1
       0.199992        1.46798              1              1
       0.200826        1.46903              1              1
       0.201659        1.47005              1              1
       0.202492        1.47103              1              1
       0.203326        1.47198              1              1
       0.204159         1.4729              1              1
       0.204992        1.47379              1              1
       0.205826        1.47464              1              1
       0.206659        1.47547              1              1
       0.207492        1.47628              1              1
       0.208325        1.47706              1              1
       0.209159        1.47781              1              1
       0.209992        1.47853              1              1
       0.210825        1.47924              1              1
       0.211659        1.47992              1              1
       0.212492        1.48058              1              1
       0.213325        1.48121              1              1
       0.214159        1.48183              1              1
       0.214992        1.48242              1              1
       0.215825          1.483              1              1
       0.216658        1.48356              1              1
       0.217492         1.4841              1              1
       0.217492         1.4841              1              1
       0.218325        1.48462              1              1
       0.219158        1.48512              1              1
       0.219992        1.48561              1              1
       0.220825        1.48608              1              1
       0.221658        1.48654              1              1
       0.222492        1.48698              1              1
