Ticker,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
6020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6040,2.5,0,2.5,3,5,1,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5
6050,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6060,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
6070,0,0,0,0,0,0,0.5,0,2,2,2,2,1,1,1
6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6090,0,0,0,0,2.5,1,0.5,0.5,0,0,0,0,0,0,0
7010,0,8,26,35,6.25,5.25,4.25,3,3,2.25,2,2,3.25,4,4
7020,0,0,0,0,0,0,0.5,0.75,1.25,3.25,5,4.7,3.75,0,0
7030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8010,0,0,0,0,30,10,10,2,4,3,3.5,0,0,1.45,1
8011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
8020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8030,0,0,0,0,0,0,0,0,0.75,1.25,2,0,0,0,0
8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
8140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8180,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2
8190,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
8200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8210,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2
8220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201,0,0,0,0,0,0,0,0,0,0,1.35,0.5,0.5,0,0
1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
1210,0,0,0,0,0,0,0,0.5,1,1,1,1.5,1,1,1
1211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1212,0,0,0,0,0,0,0,0.5,1.25,1.5,1.75,1.75,1.75,0.75,0
1213,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0
1214,0,0,0,0,0,0,0,0,3,3.5,4,0,5,0,0.75
2070,6,7,4,5,1,1,1.5,1.5,1.5,1.5,2,2,1,1.5,1
2150,0,0,2.5,5,1,1,1,1.5,0.5,1.25,2.25,1.25,1.25,2.7,1.25
2180,5,6,6,6,6,1.2,0.5,0,0,1,1,1,1,1,0
2220,0,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0.5,0.5
2230,12,4,0,0,0,1,0,0,5.5,4,1.5,3.5,3.75,5,2
2300,0,0,0,0,0,0.5,0.75,1,1.25,1.5,1.75,1.5,0,0,0
2340,0,0,0,0,0,0,1.5,0,5,1,2.75,3.25,2.5,1.75,0.3
4140,0,4.5,2.5,5,0,1,0,1,0,0,0.5,0,0,0,0
1301,0,0,0,0,0,0,0,0,0,0.75,2.25,1.25,1.25,1.3,1.65
1302,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.5,1.15
1303,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5
1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
1310,,,,,,,,1,0.75,0.75,0,,,,
1320,0,0,0,0,0,0,0,0,2.5,1.75,0.75,1.5,0,1,0
1330,0,0,0,0,0,0,0,0,1.3,2,0.5,0.5,0.5,0.5,0
2040,0,3,6,10,10,2.5,2.5,2.5,3,3.5,3.5,2.5,3,2,2
2090,13,10,15,17,20,3,2.5,2.5,2.5,2,1.2,0.5,0.8,0.6,0.6
2110,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0,0,0,0,0
2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2160,0,3.5,0,0,0,0,0,0.5,1,1.5,1.25,1,1,0,0.65
2200,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0
2240,5,6,3,6,0,1.5,1.5,1.5,2.25,1.5,1.5,1.5,2,2,2
2320,0,0,0,0,0,1.1,2,1,1.5,1.5,2.5,1.5,1,2,0
2360,0,0,0,0,0,0,2,2.25,2.25,5,4.25,6.75,5.75,5.75,4.5
2370,0,0,0,0,0,0,0.5,1.2,1,0,0,0,0,0,0
4230,0,0,0,0,0,1.5,2,3.5,2,1,1,1.5,1.25,1,0.75
4020,6,6,8,8,0.8,0.75,1,1,0.75,1.75,1,1,1,1,1
4090,0,0,3.5,4,1.7,1.9,1.6,1.1,0.6,1.45,1.05,1.4,2.6,2,1.7
4100,12,24,6,6,1.2,1.2,1.2,1.5,1.5,1.5,2,2.5,2.5,2.5,2.5
4150,2.5,0,0,0,0.5,0.5,0.5,0.75,0.5,1,1.9,1,1.5,1,1.8
4220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4300,0,0,0,15,15,3,3,0,1,0,0,0,0,0,0
4310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
4030,0,0,0,5,0,1,1,1.5,1,1,0.5,1,1,1,2.5
4031,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,1.81
4040,2.5,2.5,2.5,2.5,3.6,0.7,0.5,0.5,0,0.5,0.5,0.5,0.5,1.25,0.5
4110,0,0,7,4,0.8,0,0,0,0,0,0,0,1.5,0.5,
4260,0,0,0,0,0,0,1.5,1.75,2,2.25,2.5,2.1,2.25,1.7,1.5
1810,0,0,0,0,0,0,0,0,0,0,2.5,4.5,4,0,0
1820,0,0,0,0,0,0,0,0,0,0,0,0,1.25,2.5,1.9
4010,2.5,2.5,2.75,3,0.8,0.55,1,1.8,1.4,1.5,1.29,1.4,1.2,1.2,1.15
4170,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4070,3,0,3,3,0,0.75,1,1.2,0,1.5,0,0,0,0,0
4210,0,0,0,0,0,2,3,2,0.5,1,1,1,0,0,0
4270,0,0,0,0,0,0,1,1.5,0,0.5,0.5,0.5,0,0,0
